date,LINK_deposited,WBTC_borrowed,WETH_deposited,WBTC_deposited,USDC_borrowed,UNI_deposited,YFI_deposited,ZRX_deposited,DAI_borrowed,USDT_borrowed,user
2021-02-22,390.84734063463145,3.8811756725477716e-07,13.531413871812305,0.4999233138737386,34686.14678957038,142.15782175278335,0.03123171801677862,1741.6652969406393,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-23,390.8474703329524,3.881231518072345e-07,13.531494815630115,0.499923885357157,34694.89981422104,142.15802230034328,0.031231734527065427,1741.6657889117523,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-24,390.8475990305212,3.8812884766332e-07,13.531564544610585,0.49992447592430644,34703.655051562004,142.15816243533936,0.031231747064604458,1741.6662553811643,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-25,390.8477269706382,3.8813455225565764e-07,13.531638659675387,0.4999250734819275,34712.41250215363,142.15828424234311,0.031231757798257643,1741.6667286840238,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-26,390.8478423093092,3.8813995640143933e-07,13.531716828677233,0.4999255360347369,34721.172166556404,142.15834005559648,0.031231766870645248,1741.6672047697703,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-27,390.84794650871055,3.8814520665375466e-07,13.531802813240608,0.6067363734722833,39731.16591004052,142.1583930346794,0.03123177406883943,1741.6677617284945,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-28,390.8480415412902,3.8815051186344214e-07,13.531878953455866,0.6067368927433608,39741.16217195534,142.1584360469242,0.031231778558500355,1741.6682853238367,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-01,390.8481316754103,3.881556359375961e-07,13.531952401170347,0.6067373859208709,39751.16095293654,142.15847586610553,0.031231782711092268,1741.6685764160482,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-02,390.84821893030636,3.8816058281830916e-07,13.532027378297357,0.6067378601074607,39761.16225361997,142.15851284940243,0.03123178691632523,1741.6688714464524,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-03,390.84830180086396,3.88165334931185e-07,13.532105759544953,0.6067383163894954,39771.16607464166,142.158548209304,0.031231790910726837,1741.6691720552888,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-04,390.8484060154707,3.8817007859258624e-07,13.532176314797766,0.6067387717072241,39781.172416637775,142.15857677502058,0.031231794987934977,1741.6694658446493,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-05,390.84852211469916,3.8817498391206145e-07,13.532237200672784,0.6067392469795513,39791.18128024465,142.15867271350638,0.031231819845162687,1741.6697585026686,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-06,390.8487104745,3.881799316559877e-07,13.532286971599671,0.6067397265162922,39801.19266609878,142.15884085645004,0.031232144238521158,1741.6700523007719,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-07,390.8540783809638,3.881846261022812e-07,16.919319789495802,0.6067401706113981,39811.206574836826,142.17526157524858,0.03131952011314794,1741.6703367289826,6001.466057207869,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
